Locality,Type of property,Subtype of property,Price,Type of sale,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace surface,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
2200,APARTMENT,DUPLEX,930,rent,2,142,INSTALLED,,False,False,False,142,2,False,GOOD
5590,HOUSE,HOUSE,False,rent,3,255,INSTALLED,,1,False,False,255,False,False,JUST_RENOVATED
8300,HOUSE,HOUSE,False,rent,3,165,HYPER_EQUIPPED,False,False,False,False,165,3,False,GOOD
1410,HOUSE,VILLA,False,rent,5,400,HYPER_EQUIPPED,,1,20,900,400,4,False,JUST_RENOVATED
2930,HOUSE,VILLA,False,rent,5,601,HYPER_EQUIPPED,False,1,False,False,601,4,True,JUST_RENOVATED
8300,HOUSE,HOUSE,False,rent,3,False,HYPER_EQUIPPED,False,False,False,False,False,3,False,GOOD
1380,HOUSE,VILLA,False,rent,4,280,HYPER_EQUIPPED,False,False,3,False,280,4,False,GOOD
1410,HOUSE,VILLA,False,rent,6,222,HYPER_EQUIPPED,,False,15,600,222,4,False,AS_NEW
4460,HOUSE,HOUSE,False,rent,5,False,HYPER_EQUIPPED,True,False,25,1,False,2,False,AS_NEW
8300,HOUSE,HOUSE,False,rent,3,94,INSTALLED,True,False,False,False,94,2,False,GOOD
8490,HOUSE,HOUSE,False,rent,3,125,False,False,False,False,False,125,3,False,False
9830,HOUSE,HOUSE,1520,rent,4,213,INSTALLED,,False,False,False,213,False,False,JUST_RENOVATED
1410,HOUSE,VILLA,False,rent,7,500,HYPER_EQUIPPED,,False,40,False,500,4,False,AS_NEW
7618,HOUSE,HOUSE,False,rent,3,144,HYPER_EQUIPPED,False,False,False,False,144,3,False,AS_NEW
1653,HOUSE,HOUSE,False,rent,3,150,HYPER_EQUIPPED,False,False,False,False,150,4,False,AS_NEW
7600,HOUSE,HOUSE,False,rent,4,False,USA_INSTALLED,,False,1,1,False,2,False,False
1640,HOUSE,EXCEPTIONAL_PROPERTY,False,rent,6,634,USA_HYPER_EQUIPPED,,1,1,1,634,4,False,AS_NEW
1170,HOUSE,HOUSE,False,rent,4,300,HYPER_EQUIPPED,,False,False,False,300,3,False,JUST_RENOVATED
2000,HOUSE,HOUSE,False,rent,12,1200,HYPER_EQUIPPED,False,False,50,False,1200,2,False,GOOD
1410,HOUSE,MIXED_USE_BUILDING,False,rent,3,250,INSTALLED,False,False,False,False,250,4,False,False
4400,HOUSE,VILLA,False,rent,2,False,INSTALLED,,False,1,1,False,4,False,AS_NEW
1160,APARTMENT,APARTMENT,850,rent,1,60,INSTALLED,False,False,False,False,60,2,False,False
9032,HOUSE,HOUSE,False,rent,3,False,False,False,False,False,False,False,2,False,AS_NEW
1040,APARTMENT,DUPLEX,4200,rent,3,210,HYPER_EQUIPPED,False,False,66,False,210,2,False,GOOD
1040,APARTMENT,APARTMENT,3900,rent,3,215,HYPER_EQUIPPED,False,False,False,False,215,2,False,JUST_RENOVATED
2340,HOUSE,HOUSE,False,rent,3,False,INSTALLED,,False,False,False,False,4,False,JUST_RENOVATED
7332,HOUSE,HOUSE,False,rent,4,177,INSTALLED,,False,False,False,177,4,False,AS_NEW
7521,APARTMENT,APARTMENT,1140,rent,3,False,HYPER_EQUIPPED,False,False,False,False,False,False,False,AS_NEW
1040,APARTMENT,PENTHOUSE,4200,rent,3,210,HYPER_EQUIPPED,False,False,66,False,210,2,False,JUST_RENOVATED
1140,APARTMENT,APARTMENT,1360,rent,2,69,HYPER_EQUIPPED,False,False,6,False,69,4,False,GOOD
7500,APARTMENT,APARTMENT,750,rent,2,84,INSTALLED,False,False,False,False,84,2,False,GOOD
7730,HOUSE,HOUSE,False,rent,3,145,INSTALLED,False,False,False,False,145,3,False,GOOD
1933,HOUSE,VILLA,False,rent,3,False,HYPER_EQUIPPED,False,False,False,False,False,4,False,JUST_RENOVATED
1180,APARTMENT,DUPLEX,False,rent,2,120,HYPER_EQUIPPED,False,False,7,200,120,False,False,GOOD
4030,APARTMENT,FLAT_STUDIO,False,rent,1,43,SEMI_EQUIPPED,False,False,False,False,43,2,False,JUST_RENOVATED
5100,APARTMENT,APARTMENT,680,rent,1,61,False,,False,False,False,61,False,False,GOOD
1367,HOUSE,HOUSE,False,rent,3,110,USA_HYPER_EQUIPPED,,False,15,False,110,4,False,False
1650,HOUSE,VILLA,False,rent,4,245,INSTALLED,,1,False,False,245,4,False,False
1200,APARTMENT,APARTMENT,920,rent,1,40,SEMI_EQUIPPED,,False,False,False,40,False,False,GOOD
9000,APARTMENT,APARTMENT,895,rent,1,71,INSTALLED,,False,12,False,71,2,False,GOOD
5523,HOUSE,HOUSE,False,rent,5,220,INSTALLED,,False,30,False,220,False,False,GOOD
8301,HOUSE,HOUSE,False,rent,3,False,HYPER_EQUIPPED,True,False,False,False,False,2,False,AS_NEW
1380,HOUSE,VILLA,False,rent,5,239,INSTALLED,,False,False,1,239,4,False,AS_NEW
3770,HOUSE,HOUSE,False,rent,3,False,INSTALLED,,False,False,False,False,False,False,GOOD
1410,HOUSE,VILLA,False,rent,4,309,HYPER_EQUIPPED,,False,False,False,309,4,False,JUST_RENOVATED
1160,HOUSE,HOUSE,False,rent,8,640,HYPER_EQUIPPED,False,False,False,False,640,3,False,AS_NEW
1421,HOUSE,HOUSE,2070,rent,3,150,HYPER_EQUIPPED,,False,False,False,150,3,False,AS_NEW
9340,HOUSE,HOUSE,False,rent,3,False,HYPER_EQUIPPED,,False,30,False,False,2,False,AS_NEW
1420,HOUSE,HOUSE,False,rent,3,150,SEMI_EQUIPPED,,False,8,False,150,2,False,GOOD
5000,HOUSE,HOUSE,False,rent,5,False,USA_SEMI_EQUIPPED,,False,3,10,False,2,False,AS_NEW
9620,HOUSE,HOUSE,False,rent,3,False,INSTALLED,,False,False,False,False,2,False,AS_NEW
1457,HOUSE,HOUSE,900,rent,1,70,INSTALLED,,1,False,False,70,False,False,GOOD
1495,HOUSE,VILLA,False,rent,4,300,HYPER_EQUIPPED,False,False,False,False,300,4,False,GOOD
1180,HOUSE,HOUSE,False,rent,4,361,HYPER_EQUIPPED,False,False,False,False,361,4,False,AS_NEW
1880,APARTMENT,GROUND_FLOOR,False,rent,2,98,HYPER_EQUIPPED,False,False,False,75,98,3,False,GOOD
2900,APARTMENT,APARTMENT,1750,rent,2,125,NOT_INSTALLED,,False,False,False,125,3,False,AS_NEW
1050,APARTMENT,APARTMENT,2750,rent,4,160,HYPER_EQUIPPED,False,False,10,False,160,2,False,AS_NEW
1050,APARTMENT,APARTMENT,2750,rent,4,160,HYPER_EQUIPPED,False,False,10,False,160,2,False,AS_NEW
9280,HOUSE,HOUSE,False,rent,4,184,INSTALLED,False,False,False,False,184,2,False,AS_NEW
2800,APARTMENT,APARTMENT,False,rent,2,110,INSTALLED,,False,False,False,110,False,False,GOOD
1140,APARTMENT,APARTMENT,1680,rent,2,102,HYPER_EQUIPPED,False,False,18,False,102,4,False,GOOD
1930,APARTMENT,APARTMENT,1680,rent,2,102,HYPER_EQUIPPED,False,False,18,False,102,4,False,GOOD
5310,HOUSE,HOUSE,1300,rent,3,195,HYPER_EQUIPPED,False,False,False,False,195,4,False,AS_NEW
5100,APARTMENT,APARTMENT,570,rent,1,False,INSTALLED,,False,False,False,False,False,False,GOOD
1930,APARTMENT,APARTMENT,1360,rent,2,69,HYPER_EQUIPPED,False,False,6,False,69,4,False,GOOD
1050,APARTMENT,APARTMENT,2100,rent,3,132,HYPER_EQUIPPED,False,False,6,False,132,False,False,AS_NEW
9000,APARTMENT,APARTMENT,False,rent,2,97,SEMI_EQUIPPED,,False,False,False,97,2,False,GOOD
3000,APARTMENT,FLAT_STUDIO,False,rent,1,24,NOT_INSTALLED,True,False,False,False,24,False,False,False
1703,APARTMENT,APARTMENT,950,rent,2,107,HYPER_EQUIPPED,False,False,3,False,107,3,False,AS_NEW
3010,APARTMENT,APARTMENT,1200,rent,2,93,HYPER_EQUIPPED,False,False,False,False,93,False,False,JUST_RENOVATED
1330,HOUSE,VILLA,False,rent,3,156,HYPER_EQUIPPED,True,False,40,80,156,4,False,AS_NEW
8560,HOUSE,HOUSE,False,rent,2,105,INSTALLED,,False,False,False,105,3,False,GOOD
9860,HOUSE,HOUSE,False,rent,2,75,False,,False,False,False,75,False,False,GOOD
9700,APARTMENT,APARTMENT,820,rent,2,118,False,,False,7,False,118,False,False,GOOD
9820,APARTMENT,APARTMENT,865,rent,1,60,INSTALLED,,False,False,False,60,False,False,GOOD
4970,HOUSE,HOUSE,False,rent,2,87,SEMI_EQUIPPED,,False,False,False,87,False,False,JUST_RENOVATED
2290,APARTMENT,APARTMENT,700,rent,2,65,False,,False,5,False,65,False,False,GOOD
3090,APARTMENT,DUPLEX,False,rent,2,80,HYPER_EQUIPPED,,False,3,False,80,False,False,GOOD
1000,HOUSE,HOUSE,False,rent,4,177,NOT_INSTALLED,,False,False,False,177,3,False,False
1410,HOUSE,VILLA,False,rent,5,244,HYPER_EQUIPPED,False,False,28,900,244,4,True,False
7500,HOUSE,HOUSE,False,rent,3,210,INSTALLED,False,False,False,False,210,2,False,GOOD
7390,HOUSE,VILLA,False,rent,4,False,INSTALLED,,False,False,False,False,3,False,AS_NEW
1180,HOUSE,EXCEPTIONAL_PROPERTY,False,rent,6,634,HYPER_EQUIPPED,,1,False,False,634,4,False,AS_NEW
8300,HOUSE,VILLA,False,rent,5,315,HYPER_EQUIPPED,False,2,False,False,315,4,False,AS_NEW
1050,HOUSE,HOUSE,False,rent,6,450,HYPER_EQUIPPED,,False,30,False,450,2,False,AS_NEW
1180,HOUSE,MANSION,5800,rent,6,False,HYPER_EQUIPPED,,False,False,False,False,2,False,GOOD
1060,HOUSE,EXCEPTIONAL_PROPERTY,950,rent,6,False,INSTALLED,True,False,False,False,False,3,False,AS_NEW
4053,HOUSE,MIXED_USE_BUILDING,False,rent,4,False,USA_SEMI_EQUIPPED,,False,1,1,False,4,False,False
8300,HOUSE,VILLA,False,rent,3,187,HYPER_EQUIPPED,True,False,False,False,187,3,False,AS_NEW
8870,HOUSE,HOUSE,False,rent,1,False,INSTALLED,,False,False,False,False,False,False,GOOD
8500,HOUSE,HOUSE,False,rent,4,False,HYPER_EQUIPPED,,False,10,15,False,1,False,JUST_RENOVATED
5000,APARTMENT,APARTMENT,False,rent,4,102,INSTALLED,,False,False,False,102,2,False,False
8570,HOUSE,BUNGALOW,False,rent,3,150,INSTALLED,,False,False,False,150,False,False,GOOD
9968,APARTMENT,APARTMENT,False,rent,3,False,INSTALLED,,False,False,False,False,False,False,GOOD
1200,APARTMENT,APARTMENT,1400,rent,2,98,INSTALLED,False,False,False,False,98,2,False,AS_NEW
1030,HOUSE,HOUSE,False,rent,1,65,USA_INSTALLED,,False,False,False,65,2,False,False
2600,APARTMENT,APARTMENT,False,rent,2,69,SEMI_EQUIPPED,,False,False,False,69,False,False,GOOD
8510,HOUSE,HOUSE,False,rent,3,92,False,False,False,False,False,92,3,False,AS_NEW
1200,APARTMENT,APARTMENT,1700,rent,2,136,INSTALLED,False,False,False,False,136,3,False,AS_NEW
1140,APARTMENT,FLAT_STUDIO,855,rent,0,39,HYPER_EQUIPPED,False,False,False,False,39,2,False,GOOD
8301,APARTMENT,FLAT_STUDIO,False,rent,0,30,False,,False,False,False,30,False,False,False
3740,APARTMENT,APARTMENT,1000,rent,2,120,HYPER_EQUIPPED,,False,False,False,120,False,False,False
1140,APARTMENT,APARTMENT,1280,rent,1,61,HYPER_EQUIPPED,False,False,8,False,61,2,False,AS_NEW
8540,APARTMENT,APARTMENT,890,rent,3,140,INSTALLED,,False,30,False,140,False,False,GOOD
9620,APARTMENT,APARTMENT,855,rent,1,75,INSTALLED,,False,30,False,75,False,False,GOOD
9820,APARTMENT,DUPLEX,False,rent,2,False,INSTALLED,,False,27,False,False,False,False,False
1140,APARTMENT,APARTMENT,1180,rent,1,61,HYPER_EQUIPPED,False,False,8,False,61,2,False,AS_NEW
4000,APARTMENT,APARTMENT,1000,rent,2,57,INSTALLED,False,False,False,False,57,2,False,GOOD
9000,APARTMENT,APARTMENT,1250,rent,2,False,INSTALLED,,False,False,False,False,False,False,GOOD
1000,APARTMENT,APARTMENT,1310,rent,2,85,INSTALLED,True,False,False,False,85,2,False,AS_NEW
9890,APARTMENT,APARTMENT,False,rent,2,101,HYPER_EQUIPPED,False,False,9,False,101,4,False,GOOD
9890,APARTMENT,GROUND_FLOOR,False,rent,2,101,HYPER_EQUIPPED,False,False,15,False,101,4,False,GOOD
6040,HOUSE,HOUSE,False,rent,2,92,False,,False,False,False,92,2,False,False
9700,HOUSE,HOUSE,False,rent,4,False,SEMI_EQUIPPED,,False,42,False,False,2,False,False
8840,HOUSE,FARMHOUSE,False,rent,5,False,False,False,False,False,False,False,4,False,False
7610,HOUSE,HOUSE,False,rent,2,132,INSTALLED,False,False,False,False,132,4,False,GOOD
1170,HOUSE,HOUSE,False,rent,5,370,INSTALLED,False,False,30,False,370,2,False,False
1370,HOUSE,HOUSE,595,rent,4,150,False,,False,False,False,150,4,False,False
1410,HOUSE,VILLA,False,rent,5,False,USA_HYPER_EQUIPPED,,1,125,400,False,4,True,AS_NEW
1370,HOUSE,HOUSE,2430,rent,4,150,False,,False,False,False,150,4,False,False
1180,HOUSE,HOUSE,False,rent,3,185,HYPER_EQUIPPED,False,False,20,False,185,2,False,False
7740,HOUSE,HOUSE,False,rent,3,185,INSTALLED,,False,False,False,185,2,False,GOOD
7321,HOUSE,VILLA,False,rent,4,False,USA_INSTALLED,,False,False,1,False,3,False,False
6780,HOUSE,HOUSE,False,rent,3,False,INSTALLED,,False,False,False,False,False,False,AS_NEW
5660,HOUSE,OTHER_PROPERTY,False,rent,0,320,NOT_INSTALLED,False,False,False,90,320,3,False,False
8490,HOUSE,MIXED_USE_BUILDING,False,rent,0,False,INSTALLED,,False,False,False,False,2,False,False
3800,HOUSE,HOUSE,False,rent,2,113,INSTALLED,,False,21,False,113,False,False,GOOD
9890,APARTMENT,APARTMENT,False,rent,2,160,HYPER_EQUIPPED,False,False,34,False,160,4,False,GOOD
1200,APARTMENT,APARTMENT,1850,rent,3,130,HYPER_EQUIPPED,False,False,4,False,130,2,False,JUST_RENOVATED
9300,APARTMENT,DUPLEX,False,rent,2,85,INSTALLED,,False,False,False,85,False,False,GOOD
8300,HOUSE,HOUSE,False,rent,5,161,INSTALLED,,False,False,False,161,False,False,GOOD
2650,APARTMENT,APARTMENT,False,rent,2,78,HYPER_EQUIPPED,,False,False,False,78,2,False,AS_NEW
2640,APARTMENT,APARTMENT,False,rent,2,83,INSTALLED,,False,False,False,83,3,False,JUST_RENOVATED
8500,HOUSE,HOUSE,False,rent,1,80,SEMI_EQUIPPED,,False,False,100,80,False,False,GOOD
9320,APARTMENT,APARTMENT,False,rent,1,60,INSTALLED,,False,False,False,60,False,False,GOOD
8400,APARTMENT,APARTMENT,False,rent,2,False,INSTALLED,,False,False,False,False,False,False,GOOD
9800,APARTMENT,APARTMENT,900,rent,1,False,INSTALLED,,False,10,False,False,False,False,False
5060,APARTMENT,TRIPLEX,False,rent,3,95,INSTALLED,,False,False,False,95,2,False,GOOD
5000,APARTMENT,APARTMENT,False,rent,1,80,INSTALLED,,False,False,False,80,2,False,GOOD
9470,APARTMENT,APARTMENT,795,rent,2,80,INSTALLED,False,False,4,False,80,2,False,AS_NEW
1000,APARTMENT,APARTMENT,False,rent,1,40,HYPER_EQUIPPED,True,False,2,False,40,2,False,AS_NEW
5000,APARTMENT,APARTMENT,1125,rent,1,70,HYPER_EQUIPPED,False,False,14,False,70,2,False,GOOD
9040,HOUSE,HOUSE,False,rent,4,200,False,False,False,False,False,200,2,False,AS_NEW
1170,HOUSE,HOUSE,False,rent,2,103,INSTALLED,True,False,False,False,103,4,False,False
9250,HOUSE,VILLA,False,rent,4,373,INSTALLED,,False,False,False,373,False,False,False
7340,HOUSE,PAVILION,False,rent,1,False,USA_SEMI_EQUIPPED,,False,False,5,False,3,False,JUST_RENOVATED
5002,HOUSE,HOUSE,False,rent,1,False,HYPER_EQUIPPED,,False,False,False,False,2,False,False
1300,HOUSE,HOUSE,False,rent,5,145,INSTALLED,,False,False,False,145,3,False,False
4030,HOUSE,HOUSE,False,rent,3,110,INSTALLED,,False,1,1,110,2,False,JUST_RENOVATED
7090,HOUSE,HOUSE,False,rent,2,80,INSTALLED,False,False,False,False,80,2,False,False
1180,HOUSE,HOUSE,False,rent,4,200,INSTALLED,False,False,20,1,200,2,False,False
1410,HOUSE,VILLA,False,rent,5,False,HYPER_EQUIPPED,,False,False,False,False,4,False,False
